conversation_id,utterance_id,utterance,mode,caller
0,0,this/DT makes/VBZ twice/RB i/PRP 've/VBP been/VBN to/TO his/PRP$ experiment/NN ./.,EE,R
0,1,cause/VB the/DT first/JJ time/NN i/PRP came/VBD,EE,R
0,2,"his/PRP$ bulb/NN was/VBD burned/VBN out/RP ,/,",ZZ,R
0,3,"oh/UH ,/, no/DT ./.",KK/KD,L
0,4,on/IN his/PRP$ little/JJ projector/NN ./.,ZZ,R
0,5,so/RB he/PRP said/VBD 'will/PRP you/PRP come/VBP back/RB ?/. '/'',EE,R
0,6,"oh/UH ,/, no/DT ./.",KK/KD,L
0,7,i/PRP just/RB finished/VBD one/CD downstairs/NN too/RB ./.,DE,R
0,8,that/DT addition/NN experiment/NN ./.,EE,R
0,9,is/VBZ n't/RB that/IN,QQ,L
0,10,yes/UH ./.,KE/KD/KC,R
0,11,that/DT 's/VBZ so/RB funny/JJ ./.,ED,R
0,12,gosh/NNP ./.,UD/KK/UU,L
0,13,my/PRP$ hands/NNS were/VBD going/VBG,EE/DE,L
0,14,i/PRP 'm/VBP sure/JJ ./.,DC/DD/DK,R
0,15,how/WRB did/VBD you/PRP do/VB,QQ,R
0,16,when/WRB he/PRP gave/VBD you/PRP back/RP your/PRP$ results/NNS on/IN that/DT,ZZ,R
0,17,i/PRP think/VBP that/IN,DE/DD,L
0,18,i/PRP did/VBD better/JJR the/DT,ZZ,L
0,19,the/DT middle/JJ time/NN ./.,ZZ,L
0,20,really/RB ?/.,QQ/DE/KQ/QK,R
0,21,i/PRP did/VBD,QQ/DE/KQ/QK,R
0,22,he/PRP told/VBD me/PRP i/PRP did/VBD,EE,R
0,23,exact/JJ opposite/NN of/IN what/WP it/PRP should/MD have/VB been/VBN ./.,ZZ,R
0,24,he/PRP said/VBD the/DT way/NN it/PRP 's/VBZ set/VBN up/RP,EE,R
0,25,you/PRP should/MD get/VB progressively/RB better/RBR ./.,ZZ,R
0,26,"yea/NNP ,/, i/PRP did/VBD n't/RB either/RB ./.",KD/DE/KK/KE,L
0,27,i/PRP did/VBD n't/RB either/RB ./.,DE/RC,R
0,28,i/PRP was/VBD,DE/RC,R
0,29,i/PRP got/VBD like/IN 23/CD out/IN of/IN 25/CD the/DT first/JJ time/NN,DE,R
0,30,and/CC then/RB like/IN 14/CD the/DT second/JJ time/NN,DE,R
0,31,,UU,L
0,32,and/CC then/RB like/IN 20/CD the/DT last/JJ time/NN ./.,DE,R
0,33,i/PRP did/VBD real/JJ bad/JJ the/DT first/JJ time/NN ./.,DE/DD,L
0,34,"like/IN ,/, i/PRP think/VBP",DE/DD/KK,L
0,35,"like/IN you/PRP said/VBD ,/, 14/CD or/CC 15/CD the/DT first/JJ time/NN",ZZ,L
0,36,and/CC then/RB,DE/EE,L
0,37,like/IN 23/CD the/DT second/JJ,ZZ,L
0,38,and/CC like/IN 20/CD the/DT third/JJ ./.,DE/EE,L
0,39,that/DT 's/VBZ pretty/JJ strange/JJ ./.,EI/ED,R
0,40,have/VBP you/PRP done/VBN anymore/RB ?/.,QQ,R
0,41,i/PRP did/VBD,DD/DU/DE,L
0,42,what/WDT was/VBD the/DT other/JJ one/CD i/PRP did/VBD ?/.,QQ/QD,L
0,43,i/PRP ca/MD n't/RB remember/VB the/DT name/NN of/IN it/PRP ./.,DD,L
0,44,where/WRB you/PRP saw/VBD numbers/NNS on/IN the/DT screen/NN,EE/RE,L
0,45,and/CC you/PRP had/VBD to/TO move/VB your/PRP$ hand/NN,RE,L
0,46,and/CC try/VB to/TO remember/VB the/DT numbers/NNS you/PRP were/VBD seeing/VBG ./.,RE,L
0,47,i/PRP mean/VBP i/PRP was/VBD so/RB confused/JJ when/WRB i/PRP came/VBD out/RB of/IN there/RB ./.,DD,L
0,48,it/PRP was/VBD like/IN,EE,L
0,49,the/DT first/JJ time/NN you/PRP went/VBD through/IN,EE,L
0,50,"like/IN if/IN you/PRP saw/VBD 5/CD you/PRP did/VBD 5/CD ,/, 3/CD ,/, 2/CD",RE,L
0,51,and/CC there/EX was/VBD like/IN six/CD,EE/QD,L
0,52,or/CC was/VBD there/RB nine/CD numbers/NNS ?/.,QE/QD/QQ,L
0,53,there/EX was/VBD nine/CD numbers/NNS,EE,L
0,54,and/CC at/IN the/DT end/NN you/PRP had/VBD to/TO write/VB them/PRP all/DT down/RP,RE/EE/AE,L
0,55,and/CC then/RB show/VB it/PRP ./.,RE,L
0,56,we/PRP,DE,R
0,57,i/PRP did/VBD that/IN,DE/KK,R
0,58,"um/NNP ,/,",DE/KK,R
0,59,that/DT rat/NN 's/POS experiment/NN,EE,R
0,60,or/CC something/NN like/IN that/DT ./.,EE,R
0,61,maybe/RB that/DT was/VBD it/PRP ./.,EE/ED/ER,L
0,62,and/CC it/PRP was/VBD words/NNS ./.,EE,R
0,63,she/PRP would/MD show/VB you/PRP,EE,R
0,64,a/DT set/NN of/IN 20/CD words/NNS,ZZ,R
0,65,and/CC it/PRP was/VBD like/IN,EE,R
0,66,you/PRP had/VBD like/IN,RE,R
